time,volume,close,high,low,open
1585454400000,64.7206659402,6200,6212.75,6186.97,6207.07
1585458000000,75.6252773718,6150,6200,6150,6200
1585461600000,28.2413202723,6154.39,6164.28,6133.34,6150.4
1585465200000,28.41846001,6152.33,6170.19,6116.16,6153.18
1585468800000,65.5767490944,6126.92,6154.07,6093.92,6154.07
1585472400000,34.5132196079,6089.31,6131.88,6081.61,6129.73
1585476000000,82.7004814201,6172.67,6207.37,6086.05,6088.91
1585479600000,74.9827362581,6138.17,6191.34,6133.22,6173.49
1585483200000,99.7378197831,6130,6150.6,6069.13,6139.33
1585486800000,41.6395892519,6124.37,6138.2,6100.11,6124.92
1585490400000,23.767805117,6144.92,6151.56,6109.86,6124.12
1585494000000,21.2164590932,6131.63,6144.87,6115.65,6144.58
1585497600000,72.5472977063,6084.77,6160,6061.79,6131.63
1585501200000,23.2740429875,6103.36,6118.23,6059.96,6088.76
1585504800000,30.7586894341,6064.57,6104.13,6061.22,6103.36
1585508400000,290.0169107806,5911.11,6088.77,5889,6064.16
1585512000000,61.5125785108,5946.89,5963.5,5869.77,5907.61
1585515600000,29.1566215584,5891.33,5949.43,5891.33,5948.14
1585519200000,46.6218220629,5913.49,5942.85,5879.41,5900.27
1585522800000,61.6400072279,5881.66,5931.13,5875.6,5920.53
1585526400000,67.6732405811,5902.99,5920,5858.06,5881.66
1585530000000,34.4799095353,5941.88,5945.32,5894.07,5904.1099999999
1585533600000,90.4531777244,5989.85,6020.88,5940.14,5942.03
1585537200000,34.3879399221,6004.1,6008,5982,5988.66
1585540800000,377.5071306746,6033.3,6040,5993.5,6008.26
1585544400000,359.1295605594,6201.11,6237.56,6034.17,6034.17
1585548000000,85.3908065718,6219.01,6245,6171.42,6202.5
1585551600000,200.0396594037,6238.53,6326,6217.75,6218.27
1585555200000,64.282313517,6267.62,6290.76,6238.81,6242.62
1585558800000,34.3399599234,6246.1,6280,6238.09,6271.53
1585562400000,68.86863428,6276.31,6309.31,6246.1,6246.1
1585566000000,158.2238793327,6355.94,6390,6268.94,6274.75
1585569600000,227.4109141301,6299.78,6374.15,6282.41,6356.17
1585573200000,214.453773946,6301.39,6343.63,6295.93,6299.99
1585576800000,79.339803785,6324.08,6334.28,6267.77,6301.39
1585580400000,193.8464074409,6340.85,6441.56,6323.25,6325
1585584000000,56.4991068506,6373.12,6386.93,6311.22,6345.14
1585587600000,27.61325357,6352.08,6380.87,6328.01,6375.62
1585591200000,28.2599931294,6364.92,6370.15,6328.77,6352.09
1585594800000,35.3178790907,6365.49,6400.99,6349.9,6364.92
1585598400000,129.6725160178,6461.07,6499.8,6365.1,6365.1
1585602000000,158.9798793995,6527.64,6562.45,6462.06,6462.06
1585605600000,105.4903327032,6465.57,6599,6443.6,6527.64
1585609200000,119.8846357962,6392.81,6482.9,6380,6460.59
1585612800000,85.509785654,6440,6466.21,6383.9,6395.56
1585616400000,43.8201582414,6512.38,6512.92,6440.72,6440.72
1585620000000,76.61899357,6452.13,6518.86,6446,6512.95
1585623600000,43.46619427,6439.54,6478.45,6410,6450
1585627200000,89.6188031472,6398.39,6457,6379.04,6440.44
1585630800000,59.7893424256,6416.22,6435.99,6381.57,6399.87
1585634400000,58.6245195823,6466.97,6466.97,6390.72,6415.78
1585638000000,46.3215652797,6444.71,6469.38,6426.11,6468
1585641600000,54.4519884788,6493.64,6504.14,6442.17,6444.47
1585645200000,32.765982845,6435.32,6497.09,6428.57,6494.47
1585648800000,31.2559947229,6427.23,6440.16,6407.59,6440.16
1585652400000,95.0859364993,6390,6428.48,6350,6427.16
1585656000000,102.9698296683,6445.71,6459.31,6327.56,6390.02
1585659600000,68.50806001,6428.18,6475.36,6407.59,6446.13
1585663200000,66.9751454175,6456.76,6477.6,6420.96,6420.97
1585666800000,71.0256553919,6451.36,6497,6428.82,6456.76
1585670400000,30.1172035598,6426.06,6469.62,6413.97,6451.37
1585674000000,23.7169040267,6454.35,6456.66,6400.5,6428.69
1585677600000,13.9358221679,6462.67,6485.53,6448,6452.05
1585681200000,15.023498782,6463.11,6471.73,6430,6462.67
1585684800000,31.4439852264,6461.27,6493,6450.7,6463.11
1585688400000,25.4984469,6444.92,6480.51,6419.21,6467.45
1585692000000,12.209288966,6433,6446.09,6421.34,6444.07
1585695600000,33.29125612,6412.75,6438.21,6396.46,6432.98
1585699200000,306.6861364938,6309.56,6423.34,6256,6413.48
1585702800000,59.6019813466,6292.23,6326.63,6285.71,6307.93
1585706400000,51.4107952587,6317.14,6320.7,6285.71,6292
1585710000000,59.5390377272,6365.44,6379,6312.77,6317.14
1585713600000,33.1136391339,6344.08,6372.76,6334.53,6366.82
1585717200000,52.0254730587,6304.07,6344.88,6292,6344.09
1585720800000,77.1939894414,6298,6321.15,6274.29,6306.11
1585724400000,42.05980721,6327.78,6339.71,6289.21,6300
1585728000000,41.7775339495,6305.52,6330,6287.22,6329.97
1585731600000,53.89138193,6298.97,6310.86,6265,6310.33
1585735200000,21.6868833876,6291.85,6317.64,6289.46,6301.98
1585738800000,37.31959283,6295,6303.86,6272.31,6297.89
1585742400000,196.8625972926,6223.39,6340.15,6211,6298.19
1585746000000,105.49329917,6207.27,6237.69,6171.42,6217.69
1585749600000,196.56856338,6251.3,6261.46,6201.49,6207.27
1585753200000,28.3765792309,6229.79,6255.58,6217.42,6251.3
1585756800000,63.2045757064,6188.23,6231.3,6151.18,6228.7
1585760400000,26.5358115742,6193.92,6213.67,6165.66,6184.34
1585764000000,20.6491378738,6186.72,6216.84,6185,6196.34
1585767600000,44.5930745389,6206.26,6210.99,6164.68,6186.72
1585771200000,88.8231169229,6338.6,6377.97,6194.39,6204.68
1585774800000,49.7037614183,6351.33,6400,6337.16,6338.61
1585778400000,254.5021119912,6520,6594.7281399999,6351.76,6354.08
1585782000000,364.1118111382,6642.03,6680.3536799999,6501.6,6520
1585785600000,798.0147715338,6612.82,6730,6580.13,6642.85
1585789200000,105.9778353031,6560,6635.76,6549.7,6613.95
1585792800000,119.38516403,6602.22,6615.86,6557.47,6561.53
1585796400000,40.96097442,6605,6612.86,6579.06,6604.5
1585800000000,65.17486983,6594.86,6631,6589.38,6605
1585803600000,42.1183034,6605.25,6605.51,6564.3,6595.56
1585807200000,73.0380155261,6638.76,6643.26,6589.56,6605.51
1585810800000,133.2248121,6643.43,6675,6612.24,6637.97
1585814400000,58.858499038,6650.86,6665,6606,6643.98
1585818000000,77.83263509,6639.03,6653.66,6626.32,6650.88
1585821600000,90.1309285674,6645,6705.5,6618.81,6637.93
1585825200000,97.78639713,6686.48,6698.41,6608.71,6645
1585828800000,169.4668652745,6655.31,6718.16,6616.01,6688.73
1585832400000,97.19493533,6638.29,6672.69,6621.44,6655.32
1585836000000,379.4434741172,6778.62,6814.57,6639.56,6643
1585839600000,153.0457416291,6803.3,6829.28,6723.92,6780.58
1585843200000,309.4163212854,6916,6916.58,6789.76,6805.69
1585846800000,690.6039408768,7084.16,7200,6916.01,6916.01
1585850400000,538.5389678743,6788.17,7086.37,6739.09,7084.16
1585854000000,223.5663539212,6802.88,6864.91,6732.01,6791.8
1585857600000,194.7854793602,6746.09,6802.88,6658,6802.88
1585861200000,84.9311499068,6828.97,6849.48,6715.3,6746.09
1585864800000,62.4672810008,6845.76,6867.48,6789.07,6830.65
1585868400000,71.82976626,6793,6845.46,6734.7,6845.21
